input_;output_
"{
  ""endpoint"": ""api/Student/StudentCreate"",
  ""fields"": [
    {""name"": ""FirstName"", ""type"": ""string"", ""required"": true, ""value"": """"},
    {""name"": ""LastName"", ""type"": ""string"", ""required"": true, ""value"": """"},
    {""name"": ""Age"", ""type"": ""int"", ""required"": true, ""value"": """"}
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Adı Elif, soyadı Yılmaz olan bir öğrenci ekle, yaşı 22""
}
";"{
  ""fields"": [
    {""name"": ""FirstName"", ""type"": ""string"", ""required"": true, ""value"": ""Elif""},
    {""name"": ""LastName"", ""type"": ""string"", ""required"": true, ""value"": ""Yılmaz""},
    {""name"": ""Age"", ""type"": ""int"", ""required"": false, ""value"": 22}
  ],
  ""endpoint"": ""api/Student/StudentCreate"",
  ""status"": true,
  ""modelMessage"": ""Elif Yılmaz eklendi."",
  ""userMessage"": ""Adı Elif, soyadı Yılmaz olan bir öğrenci ekle, yaşı 22""
}
"
"{
  ""endpoint"": ""api/Course/CourseCreate"",
  ""fields"": [
    {""name"": ""Title"", ""type"": ""string"", ""required"": true, ""value"": """"},
    {""name"": ""Credit"", ""type"": ""int"", ""required"": true, ""value"": """"}
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""3 kredilik Fizik dersi ekle""
}
";"{
  ""fields"": [
    {""name"": ""Title"", ""type"": ""string"", ""required"": true, ""value"": ""Fizik""},
    {""name"": ""Credit"", ""type"": ""int"", ""required"": true, ""value"": 3}
  ],
  ""endpoint"": ""api/Course/CourseCreate"",
  ""status"": true,
  ""modelMessage"": ""Eklendi."",
  ""userMessage"": ""3 kredilik Fizik dersi ekle""
}
"
"{
  ""endpoint"": ""api/Branch/GetFilteredBranchList"",
  ""fields"": [
    {
      ""name"": ""Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": """"
    },
    {
      ""name"": ""Company_Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": """"
    }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""İstanbul ve XYZ şirketine ait şubeleri filtrele""
}
";""{
  ""endpoint"": ""api/Branch/GetFilteredBranchList"",
  ""fields"": [
    {
      ""name"": ""Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""İstanbul""
    },
    {
      ""name"": ""Company_Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""XYZ""
    }
  ],
  ""status"": false,
  ""modelMessage"": ""İstanbul'da ki XYZ şirketleri filtrelendi."",
  ""userMessage"": ""İstanbul ve XYZ şirketine ait şubeleri filtrele""
}"

"{
  ""endpoint"": ""api/Position/PositionCreate"",
  ""fields"": [
    {
      ""name"": ""PositionName"",
      ""type"": ""string"",
      ""required"": false,
      ""value"": """"
    },
    {
      ""name"": ""Branch_Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": """"
    }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Satış müdürü pozisyonunu Kadıköy şubesine ekle""
}
";"{
  ""fields"": [
    {
      ""name"": ""PositionName"",
      ""type"": ""string"",
      ""required"": false,
      ""value"": ""Satış Müdür""
    },
    {
      ""name"": ""Branch_Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": """"
    }
  ],
  ""endpoint"": ""api/Position/PositionCreate"",
  ""status"": true,
  ""modelMessage"": ""Kadıköy şubesine satış müdürü pozisyonu eklendi."",
  ""userMessage"": ""Satış müdürü pozisyonunu Kadıköy şubesine ekle""
}
"
"{
  ""fields"": [
    {
      ""name"": ""SmsLimit"",
      ""type"": ""int"",
      ""required"": true,
      ""value"": """"
    }
  ],
  ""endpoint"": ""api/CompanySmsLimit/CompanySmsLimitCreate"",
  ""status"": true,
  ""modelMessage"": ""completed"",
  ""userMessage"": ""Şirkete 1000 SMS limiti ekle""
}
";"{
  ""fields"": [
    {
      ""name"": ""SmsLimit"",
      ""type"": ""int"",
      ""required"": true,
      ""value"": 1000
    }
  ],
  ""endpoint"": ""api/CompanySmsLimit/CompanySmsLimitCreate"",
  ""status"": true,
  ""modelMessage"": ""Şirketinize 1000 SMS limiti eklendi."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Password"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""FkProfile_Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Yeni kullanıcı: username Can, name Mehmet Yılmaz, profil admin, şifre gizli""
}
";"{
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""Can"" },
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Mehmet Yılmaz"" },
    { ""name"": ""Password"", ""type"": ""string"", ""required"": true, ""value"": ""gizli"" },
    { ""name"": ""FkProfile_Name"", ""type"": ""string"", ""required"": true, ""value"": ""admin"" }
  ],
  ""endpoint"": ""api/User/UserCreate"",
  ""status"": true,
  ""modelMessage"": ""Yeni kullanıcı eklendi."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Tax/TaxCreate"",
  ""fields"": [
    { ""name"": ""Amount"", ""type"": ""int"", ""required"": true, ""value"": """" },
    { ""name"": ""Athlete_Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Ahmet isimli sporcunun 1500 vergi tutarını kaydet""
}
";"{
  ""fields"": [
    { ""name"": ""Amount"", ""type"": ""int"", ""required"": true, ""value"": 1500 },
    { ""name"": ""Athlete_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Ahmet"" }
  ],
  ""endpoint"": ""api/Tax/TaxCreate"",
  ""status"": true,
  ""modelMessage"": ""Ahmet isimli sporcunun 1500 vergi tutarı kaydedildi"",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""BirthDate"", ""type"": ""date"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Adı Ali, soyadı Yılmaz ve 2001 doğumlu bir sporcu ekle""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Ali"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Yılmaz"" },
    { ""name"": ""BirthDate"", ""type"": ""date"", ""required"": true, ""value"": ""2001-01-01"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": true,
  ""modelMessage"": ""Sporcu eklendi."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Coach/CoachCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""BranchId"", ""type"": ""int"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Veli adlı antrenörü 3 numaralı branşa ata""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Veli"" },
    { ""name"": ""BranchId"", ""type"": ""int"", ""required"": true, ""value"": 3 }
  ],
  ""endpoint"": ""api/Coach/CoachCreate"",
  ""status"": true,
  ""modelMessage"": ""İşlem başarılı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Organization/OrganizationCreate"",
  ""fields"": [
    { ""name"": ""Title"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""TaxNumber"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Vergi numarası 123456 olan A Spor Kulübünü oluştur""
}
";"{
  ""fields"": [
    { ""name"": ""Title"", ""type"": ""string"", ""required"": true, ""value"": ""A Spor Kulübü"" },
    { ""name"": ""TaxNumber"", ""type"": ""string"", ""required"": true, ""value"": ""123456"" }
  ],
  ""endpoint"": ""api/Organization/OrganizationCreate"",
  ""status"": true,
  ""modelMessage"": ""123456 vergi numarasına sahip A Spor Klübü oluşturuldu."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""BirthDate"", ""type"": ""date"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Ali Veli isimli sporcuyu 2001-05-20 doğum tarihiyle ekle""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Ali"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Veli"" },
    { ""name"": ""BirthDate"", ""type"": ""date"", ""required"": true, ""value"": ""2001-05-20"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": true,
  ""modelMessage"": ""Ali Veli sporcu eklendi."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Organization/OrganizationCreate"",
  ""fields"": [
    { ""name"": ""OrganizationName"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""TaxNumber"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Vergi numarası 1234567890 olan Alfa Ltd. şirketini ekle""
}
";"{
  ""fields"": [
    { ""name"": ""OrganizationName"", ""type"": ""string"", ""required"": true, ""value"": ""Alfa Ltd."" },
    { ""name"": ""TaxNumber"", ""type"": ""string"", ""required"": true, ""value"": ""1234567890"" }
  ],
  ""endpoint"": ""api/Organization/OrganizationCreate"",
  ""status"": true,
  ""modelMessage"": ""Vergi numarası 1234567890 olan Alfa Ltd. şirketini eklendi"",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Email"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Password"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""kullanıcı adı ayse_01, email ayse@example.com ve şifre 123456 ile kullanıcı oluştur""
}
";"{
  ""fields"": [
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""ayse_01"" },
    { ""name"": ""Email"", ""type"": ""string"", ""required"": true, ""value"": ""ayse@example.com"" },
    { ""name"": ""Password"", ""type"": ""string"", ""required"": true, ""value"": ""123456"" }
  ],
  ""endpoint"": ""api/User/UserCreate"",
  ""status"": true,
  ""modelMessage"": ""ayse_01 kişisi eklendi."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Competition/Create"",
  ""fields"": [
    {
      ""name"": ""Title"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": """"
    },
    {
      ""name"": ""StartDate"",
      ""type"": ""date"",
      ""required"": true,
      ""value"": """"
    },
    {
      ""name"": ""EndDate"",
      ""type"": ""date"",
      ""required"": true,
      ""value"": """"
    }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""2025 Mayıs ayının 1'ine Atletizm Turnuvası ekle""
}
";"{
  ""fields"": [
    {
      ""name"": ""Title"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""Atletizm Turnuvası""
    },
    {
      ""name"": ""StartDate"",
      ""type"": ""date"",
      ""required"": true,
      ""value"": ""2025-05-01""
    },
    {
      ""name"": ""EndDate"",
      ""type"": ""date"",
      ""required"": true,
      ""value"": ""2025-05-31""
    }
  ],
  ""endpoint"": ""api/Competition/Create"",
  ""status"": true,
  ""modelMessage"": ""Turnuva eklendi."",
  ""userMessage"": """"
}
"


